245973,96,,,1
247377,96,,,1
248868,96,,,1
250242,96,,,1
251599,96,,,1
252893,96,,,1
252895,96,,,1
253441,96,,,1
254114,96,,,1
254484,96,,,1
255206,96,,,1
255928,96,,,1
256479,96,,,1
257080,96,,,1
258311,96,,,1
260988,96,,,1
261412,96,,,1
261557,96,,,1
262023,96,,,1
262736,96,,,1
263064,96,,,1
263776,96,,,1
264322,96,,,1
264419,96,,,1
264868,96,,,1
265453,96,,,1
266058,96,,,1
266607,96,,,1
267133,96,,,1
267711,96,,,1
268151,96,,,1
268272,96,,,1
268826,96,,,1
269379,96,,,1
269872,96,,,1
270914,96,,,1
271478,96,,,1
271744,96,,,1
272045,96,,,1
272553,96,,,1
273113,96,,,1
273741,96,,,1
274483,96,,,1
274823,96,,,1
274935,96,,,1
275495,96,,,1
276034,96,,,1
276597,96,,,1
277702,96,,,1
278288,96,,,1
278341,96,,,1
278832,96,,,1
279359,96,,,1
279677,96,,,1
280429,96,,,1
281810,96,,,1
281839,96,,,1
282468,96,,,1
282960,96,,,1
283419,96,,,1
283910,96,,,1
284313,96,,,1
284849,96,,,1
285117,96,,,1
285778,96,,,1
286246,96,,,1
286634,96,,,1
287155,96,,,1
287669,96,,,1
287919,96,,,1
288355,96,,,1
288746,96,,,1
289275,96,,,1
289629,96,,,1
290115,96,,,1
290574,96,,,1
290823,96,,,1
290988,96,,,1
291485,96,,,1
291982,96,,,1
292140,96,,,1
292142,96,,,1
292268,96,,,1
292909,96,,,1
293442,96,,,1
294249,96,,,1
294706,96,,,1
295201,96,,,1
295777,96,,,1
296165,96,,,1
296711,96,,,1
297190,96,,,1
297663,96,,,1
298053,96,,,1
298542,96,,,1
298928,96,,,1
299430,96,,,1
299576,96,,,1
299937,96,,,1
300431,96,,,1
300861,96,,,1
301437,96,,,1
301843,96,,,1
302225,96,,,1
303288,96,,,1
303632,96,,,1
303637,96,,,1
303746,96,,,1
304117,96,,,1
304743,96,,,1
305217,96,,,1
